EMPRESA|CODIGOID|PRODUCTO|FECHA_ALTA|VALOR|CUENTA_ACTIVO|CUENTA_PASIVO|ANOS|PORCENTAJE|FECHA_ANTICIPADA|PRIMER_EJERCICIO|ULTIMO_EJERCICIO|AMORTIZA_PRIMERO|AMORTIZA_ANUAL|AMORTIZA_ULTIMO|FLAG_VEHICULO|FLAG_NAVE|FLAG_MAQUINARIA|FLAG_INFORMATICA|FLAG_MOBILIARIO
CHEMIE|14|MOBILIARIO OFICINA Y PANELES|2008-08-04|5500.00|6810000000|2816000001|4.54|22.00||2008|2013|497.26|1210.00|162.74|0|0|0|0|1
CHEMIE|15|MOBILIARIO DE OFICINA|2008-12-17|2020.74|6810000000|2160000000|5.00|20.00||2008|2013|16.60|404.14|387.58|0|0|0|0|1
CHEMIE|16|VOLKSWAGEN GOLF|2010-02-23|4500.00|6810000000|2818000000|5.00|20.00|2010-06-03|2010|2010|246.57|900.00|246.57|0|0|0|0|0
CHEMIE|17|MERCEDES BENZ ML 320 CDI|2010-05-05|20603.45|6810000000|2818000007|5.00|20.00|2012-05-10|2010|2012|2720.78|4120.69|1467.64|1|0|0|0|0
CHEMIE|19|BMW SERIE 1 MAT 2106FTH|2011-02-25|15695.28|6810000000|2818000008|5.00|20.00|2012-12-31|2011|2012|2666.04|3139.05|3139.05|1|0|0|0|0
CHEMIE|18|MOTO BMW 1200RT MAT.3941FGN|2011-04-19|5932.21|6810000000|2818000000|5.00|20.00|2012-12-31|2011|2012|835.38|1186.44|1186.44|1|0|0|0|0
CHEMIE|20|ORDENADOR PORTATIL ACER ASPIRE C13|2012-04-19|794.71|6810000000|2817000001|4.00|25.00||2012|2016|139.89|198.67|58.81|0|0|0|1|0
CHEMIE|21|FRIGORIFICO BOSCH|2012-08-19|457.64|6810000000|2816000001|1.00|100.00||2012|2013|169.26|457.64|288.38|0|0|0|0|0
CHEMIE|22|REGISTRO FUNGICIDA Y BACTERICIDA|2012-10-02|1157.74|6800000000|2800000000|5.00|20.00||2012|2017|57.72|231.54|173.86|0|0|0|0|0
CHEMIE|23|TURISMO BMW X1 1111HML|2013-01-17|29542.76|6810000000|2818000011|5.00|20.00|2018-01-31|2013|2018|5649.54|5908.55|485.63|1|0|0|0|0
CHEMIE|24|ORDENADOR I5 WINDOW 7|2014-08-29|865.80|6810000000|2817000001|4.00|25.00||2014|2018|74.12|216.45|142.33|0|0|0|1|0
CHEMIE|25|MOTO KTM FREERIDE 250 R|2014-11-03|3793.65|6810000000|2818000012|5.00|20.00|2014-12-31|2014|2014|120.56|758.73|120.56|0|0|0|0|0
CHEMIE|26|PORTATIL HP 15-R126NS|2014-12-27|539.63|6810000000|2817000001|4.00|25.00||2014|2018|1.84|134.90|133.09|0|0|0|0|0
CHEMIE|27|MOTO KTM 350 FREERIDE|2015-01-23|5725.00|6810000000|2818000013|5.00|20.00|2016-02-15|2015|2016|1075.98|1145.00|141.16|0|0|0|0|0
CHEMIE|28|MOTO KTM 250 EXC MATRICULA 3115JKW|2016-02-12|6337.59|6810000000|2818000014|5.00|20.00|2016-10-17|2016|2016|861.21|1267.51|861.21|0|0|0|0|0
CHEMIE|29|RENAULT GRANS SCENIC MATR. E4282JFR|2016-04-19|15981.53|6810000000|2818000015|10.00|10.00|2016-09-26|2016|2016|700.56|1598.15|700.56|0|0|0|0|0
CHEMIE|30|KAWASAKI VERSYS 650 MAT. 1108JNZ|2016-05-19|6289.33|6810000000|2818000016|10.00|10.00|2018-01-31|2016|2018|391.14|628.93|51.69|0|0|0|0|0
