EMPRESA|EJERCICIO|FECHA|CUENTA|TITULO_CUENTA|CONCEPTO|IMPORTE|DEBE_HABER|DEBE|HABER|TIPO_CUENTA|SALDO_BANCO_MOV|SALDO_DEUDA_MOV|INTERES_MOV|FLAG_BANCO|FLAG_DEUDA_LP|FLAG_DEUDA_CP|FLAG_INTERES|FLAG_APERTURA|FLAG_CIERRE
CHEMIE|2024|2024-11-21|1700000023||CUOTA 11/24 PREST.55095|189.54|D|189.54|0.0|DEUDA_LP_170|0.0|-189.54|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-12-23|1700000023||CUOTA 12/24 PREST.55095|190.84|D|190.84|0.0|DEUDA_LP_170|0.0|-190.84|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-12-31|1700000023||Asiento de Cierre|1833.98|D|1833.98|0.0|DEUDA_LP_170|0.0|-1833.98|0.0|0|1|0|0|0|1
CHEMIE|2024|2024-01-01|1700000025||Asiento de Apertura|15000.0|D|15000.0|0.0|DEUDA_LP_170|0.0|-15000.0|0.0|0|1|0|0|1|0
CHEMIE|2024|2024-12-31|1700000025||Asiento de Cierre|15000.0|H|0.0|15000.0|DEUDA_LP_170|0.0|15000.0|0.0|0|1|0|0|0|1
CHEMIE|2024|2024-01-01|1700000026||Asiento de Apertura|31918.01|H|0.0|31918.01|DEUDA_LP_170|0.0|31918.01|0.0|0|1|0|0|1|0
CHEMIE|2024|2024-01-08|1700000026||CUOTA 01/24 PREST.29404|519.56|D|519.56|0.0|DEUDA_LP_170|0.0|-519.56|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-02-08|1700000026||CUOTA 02/24 PREST.29404|521.99|D|521.99|0.0|DEUDA_LP_170|0.0|-521.99|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-03-08|1700000026||CUOTA 03/24 PREST.29404|533.73|D|533.73|0.0|DEUDA_LP_170|0.0|-533.73|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-04-08|1700000026||CUOTA 04/24 PREST.29404|526.92|D|526.92|0.0|DEUDA_LP_170|0.0|-526.92|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-05-08|1700000026||CUOTA 05/24 PREST.29404|533.88|D|533.88|0.0|DEUDA_LP_170|0.0|-533.88|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-06-10|1700000026||CUOTA 06/24 PREST.29404|531.88|D|531.88|0.0|DEUDA_LP_170|0.0|-531.88|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-07-08|1700000026||CUOTA 07/24 PREST.29404|539.19|D|539.19|0.0|DEUDA_LP_170|0.0|-539.19|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-08-08|1700000026||CUOTA 08/24 PREST.29404|537.4|D|537.4|0.0|DEUDA_LP_170|0.0|-537.4|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-09-09|1700000026||CUOTA 09/24 PREST.29404|539.89|D|539.89|0.0|DEUDA_LP_170|0.0|-539.89|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-10-08|1700000026||CUOTA 10/24 PREST.29404|546.44|D|546.44|0.0|DEUDA_LP_170|0.0|-546.44|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-11-08|1700000026||CUOTA 11/24 PREST.29404|544.92|D|544.92|0.0|DEUDA_LP_170|0.0|-544.92|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-12-09|1700000026||CUOTA 12/24 PREST.29404|551.33|D|551.33|0.0|DEUDA_LP_170|0.0|-551.33|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-12-31|1700000026||Asiento de Cierre|25490.88|D|25490.88|0.0|DEUDA_LP_170|0.0|-25490.88|0.0|0|1|0|0|0|1
CHEMIE|2024|2024-01-01|1700000027||Asiento de Apertura|8607.75|H|0.0|8607.75|DEUDA_LP_170|0.0|8607.75|0.0|0|1|0|0|1|0
CHEMIE|2024|2024-01-03|1700000027||CUOTA 01/24 PREST.1850196|402.95|D|402.95|0.0|DEUDA_LP_170|0.0|-402.95|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-02-01|1700000027||CUOTA 02/24 PREST.1850196|405.72|D|405.72|0.0|DEUDA_LP_170|0.0|-405.72|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-03-01|1700000027||CUOTA 03/24 PREST.1850196|408.51|D|408.51|0.0|DEUDA_LP_170|0.0|-408.51|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-04-02|1700000027||CUOTA 04/24 PREST.1850196|411.32|D|411.32|0.0|DEUDA_LP_170|0.0|-411.32|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-05-03|1700000027||CUOTA 05/24 PREST.1850196|414.15|D|414.15|0.0|DEUDA_LP_170|0.0|-414.15|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-06-03|1700000027||CUOTA 06/24 PREST.1850196|416.99|D|416.99|0.0|DEUDA_LP_170|0.0|-416.99|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-07-02|1700000027||CUOTA 06/24 PREST.1850196|419.86|D|419.86|0.0|DEUDA_LP_170|0.0|-419.86|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-08-01|1700000027||CUOTA 07/24 PREST.1850196|422.75|D|422.75|0.0|DEUDA_LP_170|0.0|-422.75|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-09-03|1700000027||CUOTA 09/24 PREST.1850196|425.65|D|425.65|0.0|DEUDA_LP_170|0.0|-425.65|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-10-01|1700000027||CUOTA 10/24 PRWST.1850196|428.58|D|428.58|0.0|DEUDA_LP_170|0.0|-428.58|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-11-04|1700000027||CUOTA 11/24 PREST.1850196|431.53|D|431.53|0.0|DEUDA_LP_170|0.0|-431.53|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-12-03|1700000027||CUOTA 12/24 PREST.1850196|434.49|D|434.49|0.0|DEUDA_LP_170|0.0|-434.49|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-12-31|1700000027||Asiento de Cierre|3585.25|D|3585.25|0.0|DEUDA_LP_170|0.0|-3585.25|0.0|0|1|0|0|0|1
CHEMIE|2024|2024-06-10|1700000028||PAGO HONDA AFRICA TWIN|12248.75|H|0.0|12248.75|DEUDA_LP_170|0.0|12248.75|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-06-14|1700000028||CUOTA 06/24 PREST.139901|133.76|D|133.76|0.0|DEUDA_LP_170|0.0|-133.76|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-07-15|1700000028||CUOTA 07/24 PREST.139901 HONDA|134.48|D|134.48|0.0|DEUDA_LP_170|0.0|-134.48|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-08-14|1700000028||CUOTA 08/24 PREST.139901|135.21|D|135.21|0.0|DEUDA_LP_170|0.0|-135.21|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-09-16|1700000028||CUOTA 09/24 PREST.139901|135.94|D|135.94|0.0|DEUDA_LP_170|0.0|-135.94|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-10-14|1700000028||CUOTA 10/24 PREST.139901|136.68|D|136.68|0.0|DEUDA_LP_170|0.0|-136.68|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-11-14|1700000028||CUOTA 11/24 PREST.254115|137.42|D|137.42|0.0|DEUDA_LP_170|0.0|-137.42|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-12-16|1700000028||CUOTA 12/24 PREST.254115|138.16|D|138.16|0.0|DEUDA_LP_170|0.0|-138.16|0.0|0|1|0|0|0|0
CHEMIE|2024|2024-12-31|1700000028||Asiento de Cierre|11297.1|D|11297.1|0.0|DEUDA_LP_170|0.0|-11297.1|0.0|0|1|0|0|0|1
CHEMIE|2024|2024-01-01|5720000004|UNICAJA - 247|Asiento de Apertura|18606.06|D|18606.06|0.0|BANCO_572|18606.06|0.0|0.0|1|0|0|0|1|0
CHEMIE|2024|2024-01-02|5720000004|UNICAJA - 247|LIQ PAGARES|2587.95|H|0.0|2587.95|BANCO_572|-2587.95|0.0|0.0|1|0|0|0|0|0
CHEMIE|2024|2024-01-02|5720000004|UNICAJA - 247|LIQ TARJETA 1108 DIC.23|194.9|H|0.0|194.9|BANCO_572|-194.9|0.0|0.0|1|0|0|0|0|0
CHEMIE|2024|2024-01-02|5720000004|UNICAJA - 247|LIQ TARJETA 3650 DICIEMBRE 23|174.3|H|0.0|174.3|BANCO_572|-174.3|0.0|0.0|1|0|0|0|0|0
CHEMIE|2024|2024-01-02|5720000004|UNICAJA - 247|Pago Fra. 1-5080, DICOCEL, S.A.|2193.25|H|0.0|2193.25|BANCO_572|-2193.25|0.0|0.0|1|0|0|0|0|0
CHEMIE|2024|2024-01-02|5720000004|UNICAJA - 247|Pago Fra. 1-98147, DILUBE, S.A.|215.16|H|0.0|215.16|BANCO_572|-215.16|0.0|0.0|1|0|0|0|0|0
CHEMIE|2024|2024-01-02|5720000004|UNICAJA - 247|Pago Fra. 1-4979, DICOCEL, S.A.|2529.31|H|0.0|2529.31|BANCO_572|-2529.31|0.0|0.0|1|0|0|0|0|0
CHEMIE|2024|2024-01-02|5720000004|UNICAJA - 247|Cobro Fra. 1-230330, VEGACAÑADA, S.A.|317.02|D|317.02|0.0|BANCO_572|317.02|0.0|0.0|1|0|0|0|0|0
CHEMIE|2024|2024-01-02|5720000004|UNICAJA - 247|Cobro Fra. 1-230331, AGROPONIENTE, S.A.|145.68|D|145.68|0.0|BANCO_572|145.68|0.0|0.0|1|0|0|0|0|0
CHEMIE|2024|2024-01-02|5720000004|UNICAJA - 247|Pago Fra. 1-278, MANGIR UTILITIES, S.L.|1048.59|H|0.0|1048.59|BANCO_572|-1048.59|0.0|0.0|1|0|0|0|0|0
CHEMIE|2024|2024-01-02|5720000004|UNICAJA - 247|Pago Fra. 1-269, MANGIR UTILITIES, S.L.|567.97|H|0.0|567.97|BANCO_572|-567.97|0.0|0.0|1|0|0|0|0|0
CHEMIE|2024|2024-01-02|5720000004|UNICAJA - 247|Cobro Fra. 1-230363, JUAN JOSE MORENO EN|1236.62|D|1236.62|0.0|BANCO_572|1236.62|0.0|0.0|1|0|0|0|0|0
CHEMIE|2024|2024-01-02|5720000004|UNICAJA - 247|Cobro Fra. 1-230364, GAVA ALMERIA S.Coop|587.58|D|587.58|0.0|BANCO_572|587.58|0.0|0.0|1|0|0|0|0|0
CHEMIE|2024|2024-01-02|5720000004|UNICAJA - 247|Cobro Fra. 1-230407, NATURSUR S. COOP. A|938.96|D|938.96|0.0|BANCO_572|938.96|0.0|0.0|1|0|0|0|0|0
CHEMIE|2024|2024-01-02|5720000004|UNICAJA - 247|Pago Fra. 1-17, EXCLUSIVAS TRIANA, S.L.U|1836.0|H|0.0|1836.0|BANCO_572|-1836.0|0.0|0.0|1|0|0|0|0|0
CHEMIE|2024|2024-01-02|5720000004|UNICAJA - 247|Pago Fra. 1-135, DETERVAL CHEMICAL, S.L.|2294.4|H|0.0|2294.4|BANCO_572|-2294.4|0.0|0.0|1|0|0|0|0|0
CHEMIE|2024|2024-01-02|5720000004|UNICAJA - 247|Pago Fra. 1-16700, ALMACENES ALMERIENSES|542.9|H|0.0|542.9|BANCO_572|-542.9|0.0|0.0|1|0|0|0|0|0
CHEMIE|2024|2024-01-02|5720000004|UNICAJA - 247|Pago Fra. 1-336619, UNICAJA BANCO, S.A.U|10.89|H|0.0|10.89|BANCO_572|-10.89|0.0|0.0|1|0|0|0|0|0
CHEMIE|2024|2024-01-02|5720000004|UNICAJA - 247|Pago Fra. 1-25985, TELEFONICA DE ESPAÑA,|294.03|H|0.0|294.03|BANCO_572|-294.03|0.0|0.0|1|0|0|0|0|0
