BLOQUE|EMPRESA|CODIGO_ALMACEN|ALMACEN|REFERENCIA1|DESCRIPCION|CODIGO_FAMILIA|FAMILIA|STOCK_ACTUAL|PRECIO_MEDIO_COMPRA|VALOR_STOCK_COSTE_MEDIO|FLAG_REFERENCIA_GENERICA|FLAG_SIN_FAMILIA|FLAG_STOCK_NEGATIVO
TOP_VALOR_STOCK_NEGATIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|794980496|VARIADOR FRECUENCIA VARIOS|2|MOTORES/REDUCTORES/BOMBAS|-34.000|159.3800000000000|-5418.920000000000|0|0|1
TOP_VALOR_STOCK_NEGATIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|000001|FINAL CARRERA/FOTOCELULAS VARIOS|14|FOTOCELULAS/FINAL CARRERA/ETC|-397.000|13.37000000000000|-5307.889999999999|0|0|1
TOP_VALOR_STOCK_NEGATIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|430002|ELECTRODO RUTILO 46 2'5x350 PACK 250|7|COMPLEMENTOS VARIOS|-279.000|18.29600000000000|-5104.584000000000|0|0|1
TOP_VALOR_STOCK_NEGATIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|510891|BANDA TRANSP. PVC 2PB 12 05/03G|1|BANDAS TRANSPORTADORAS Y ACCESORIOS|-187.680|27.18000000000000|-5101.142400000000|0|0|1
TOP_VALOR_STOCK_NEGATIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|511786|BANDA TRANSP. POLIURETANO 6/2 02|1|BANDAS TRANSPORTADORAS Y ACCESORIOS|-88.500|52.86000000000000|-4678.110000000000|0|0|1
TOP_VALOR_STOCK_NEGATIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|090145|PALA ALUM. GUILLOTINA HORNO GROSOR ESPECIAL 8mm|5|COMPLEMENTOS HORNOS/VENTILADORES|-146.000|31.00000000000000|-4526.000000000000|0|0|1
TOP_VALOR_STOCK_NEGATIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|739809|CUCHILLO ARCOS HOJA INOX PROFESIONAL 170mm|7|COMPLEMENTOS VARIOS|-485.000|8.850000000000000|-4292.250000000000|0|0|1
TOP_VALOR_STOCK_NEGATIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|DESLUB|DESBLOQUEANTE LUBRICANTE INDUSTRIAL|12|AEROSOLES|-1936.000|2.100000000000000|-4065.600000000000|0|0|1
TOP_VALOR_STOCK_NEGATIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|090199|REPUESTOS HORNOS VARIOS|5|COMPLEMENTOS HORNOS/VENTILADORES|-20.000|192.2000000000000|-3844.000000000000|0|0|1
TOP_VALOR_STOCK_NEGATIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|511016|BANDA TRANSP. PVC 2PV 016G          Mt2|1|BANDAS TRANSPORTADORAS Y ACCESORIOS|-306.790|12.02000000000000|-3687.615800000000|0|0|1
TOP_VALOR_STOCK_NEGATIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|9ROLLO050|TEFLON BLANCO ADHESIVO 0,50mm. - ANCHO 200|7|COMPLEMENTOS VARIOS|-165.000|22.14800000000000|-3654.420000000000|0|0|1
TOP_VALOR_STOCK_NEGATIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|01021700|SUPERLUBE RP - ACEITE LUBRICANTE C/PTFE|13|ACEITES Y GRASAS|-385.000|9.470000000000001|-3645.950000000000|0|0|1
TOP_VALOR_STOCK_NEGATIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|93060003|GUANTE NITRILO AZUL MAPA BOLSA 100 UDS|7|COMPLEMENTOS VARIOS|-1017.000|3.510000000000000|-3569.670000000000|0|0|1
TOP_VALOR_STOCK_NEGATIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|090136|PALA ALUMINIO GUILLOTINA HORNO C/TELFON|5|COMPLEMENTOS HORNOS/VENTILADORES|-151.000|22.00000000000000|-3322.000000000000|0|0|1
TOP_VALOR_STOCK_NEGATIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|GALVANIZINC|GALVANIZADOR EN FRIO|12|AEROSOLES|-1212.000|2.700000000000000|-3272.400000000000|0|0|1
TOP_VALOR_STOCK_POSITIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|1RX12B-2|CADENA 3/4 DOBLE REXNORD REFORZADA ASA60|6|CADENAS / PIÑONES|60.000|38.92900000000000|2335.740000000000|0|0|0
TOP_VALOR_STOCK_POSITIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|93060001|GUANTE NITRILO AZUL TB CAJA 100uds.|7|COMPLEMENTOS VARIOS|470.000|4.504315000000000|2117.028050000000|0|0|0
TOP_VALOR_STOCK_POSITIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|028025120|CEPILLO PVC-O 300x80 B/25 DT/120 N0'20N|8|CEPILLOS|270.000|7.088214000000000|1913.817780000000|0|0|0
TOP_VALOR_STOCK_POSITIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|93020000|GUANTE FLOR PIEL AMARILLO C/10|7|COMPLEMENTOS VARIOS|865.000|2.139531000000000|1850.694315000000|0|0|0
TOP_VALOR_STOCK_POSITIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|930100HAA|GUANTE NYLON - NITRILO TB AZUL HA|7|COMPLEMENTOS VARIOS|1510.000|1.011117000000000|1526.786670000000|0|0|0
TOP_VALOR_STOCK_POSITIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|FLU22LED|TUBO LED 22W 150CM|15|MATERIAL ELECTRICO|43.000|29.60847800000000|1273.164554000000|0|0|0
TOP_VALOR_STOCK_POSITIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|027525120|CEPILLO PVC-O 300x75 B/25 DT/120 N/0'20N|8|CEPILLOS|216.000|5.780000000000000|1248.480000000000|0|0|0
TOP_VALOR_STOCK_POSITIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|9ROLLOPPT|ROLLO PRECINTO POLIPROPILENO TRANSP. 132X50 C/6|7|COMPLEMENTOS VARIOS|1080.000|0.9900000000000000|1069.200000000000|0|0|0
TOP_VALOR_STOCK_POSITIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|PANT2X25LED|PANTALLA ESTANCA LED 150 2X25 (SIN TUBOS)|15|MATERIAL ELECTRICO|46.000|17.66956500000000|812.7999900000000|0|0|0
TOP_VALOR_STOCK_POSITIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|503407|CONTACEYS - COLA CONTACTO ENV. 1KG.|7|COMPLEMENTOS VARIOS|139.000|4.144171000000000|576.0397690000000|0|0|0
TOP_VALOR_STOCK_POSITIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|01033404|ACEITE CASTROL FORMULA RS 0W40 ENV.4|13|ACEITES Y GRASAS|6.000|95.88700000000000|575.3220000000000|0|0|0
TOP_VALOR_STOCK_POSITIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|9302000B|GUANTE FLOR PIEL BLANCO C/10|7|COMPLEMENTOS VARIOS|376.000|1.483405000000000|557.7602800000001|0|0|0
TOP_VALOR_STOCK_POSITIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|016096|DISCO CORTE EHT 115-1 A60 INOX C/25 (CABALLITO)|4|MAQUINARIA/HERRAMIENTAS/ACCESORIOS|333.000|1.591745000000000|530.0510849999999|0|0|0
TOP_VALOR_STOCK_POSITIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|02023402|GRASA ATOXICA VERKOFOOD FG-2 ENV.2|13|ACEITES Y GRASAS|25.000|20.24995500000000|506.2488750000000|0|0|0
TOP_VALOR_STOCK_POSITIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|422003N|CUBO CONTENEDOR NEGRO 120 LT. C/RUEDAS-PEDAL-TAPA NEGRA|7|COMPLEMENTOS VARIOS|13.000|32.22204500000000|418.8865850000000|0|0|0
TOP_VALOR_STOCK_POSITIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|090139SE|VENTILADOR HORNO CALIBRADO|5|COMPLEMENTOS HORNOS/VENTILADORES|8.000|51.66666700000000|413.3333360000000|0|0|0
TOP_VALOR_STOCK_POSITIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|003410|MOTOR TRIF. C/BRIDA B14 1500rpm 0'5 CV|2|MOTORES/REDUCTORES/BOMBAS|7.000|57.11551600000000|399.8086120000000|0|0|0
TOP_VALOR_STOCK_POSITIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|794917032|REDUCTOR NMRV-30|2|MOTORES/REDUCTORES/BOMBAS|5.000|71.77555600000000|358.8777800000000|0|0|0
TOP_VALOR_STOCK_POSITIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|000000|FOTOCELULA REFLEXION DIRECTA REG.400|14|FOTOCELULAS/FINAL CARRERA/ETC|7.000|46.68142900000000|326.7700030000000|1|0|0
TOP_VALOR_STOCK_POSITIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|02023401|GRASA ATOXICA ULTRAPLEX FG-2 / CARTUCHO 400CC|13|ACEITES Y GRASAS|79.000|3.947345000000000|311.8402550000000|0|0|0
TOP_VALOR_STOCK_POSITIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|1163002R|RODAMIENTO 6300 2RS|3|RODAMIENTOS/SOPORTES/CORREAS|409.000|0.7532740000000000|308.0890660000000|0|0|0
TOP_VALOR_STOCK_POSITIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|003414|MOTOR TRIF. C/BRIDA B14 1500rpm 0'75cv|2|MOTORES/REDUCTORES/BOMBAS|5.000|57.01173500000000|285.0586750000000|0|0|0
TOP_VALOR_STOCK_POSITIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|10836791|RODAMIENTO 30315 FAG|3|RODAMIENTOS/SOPORTES/CORREAS|4.000|66.29900000000001|265.1960000000000|0|0|0
TOP_VALOR_STOCK_POSITIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|511017|BANDA TRANSP. PVC 2PBL 3mm AZUL FDA ALIMENTACION  Mt2|1|BANDAS TRANSPORTADORAS Y ACCESORIOS|10.000|25.00000000000000|250.0000000000000|0|0|0
TOP_VALOR_STOCK_POSITIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|1160082R|RODAMIENTO 6008 2RS NSK|3|RODAMIENTOS/SOPORTES/CORREAS|40.000|5.700000000000000|228.0000000000000|0|0|0
TOP_VALOR_STOCK_POSITIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|016090|DISCO CORTE HIERRO-INOX 115-1 A60 S|4|MAQUINARIA/HERRAMIENTAS/ACCESORIOS|395.000|0.5751710000000000|227.1925450000000|0|0|0
TOP_VALOR_STOCK_POSITIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|25101096|EQUIPO OSMOSIS SIN MOTOR|7|COMPLEMENTOS VARIOS|3.000|72.76666700000000|218.3000010000000|0|0|0
TOP_VALOR_STOCK_POSITIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|131FS|FOAMIZADO AZUL ADHESIVO              Mt2|7|COMPLEMENTOS VARIOS|28.000|7.630000000000000|213.6400000000000|0|0|0
TOP_VALOR_STOCK_POSITIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|2243626|TRAJE PROTECCION DESECHABLE CAT.3|||40.000|5.250000000000000|210.0000000000000|0|1|0
TOP_VALOR_STOCK_POSITIVO|ALMERIENSE|1|ALMACEN PRINCIPAL|0615990FD7|ATORNILLADOR PROFESIONAL GSR 18 V + 3 BAT.|4|MAQUINARIA/HERRAMIENTAS/ACCESORIOS|1.000|208.2500000000000|208.2500000000000|0|0|0
TOP_VALOR_STOCK_NEGATIVO|CHEMIE|1|ALMACEN PRINCIPAL|83011000|BOBINA TISSUE SECO GOFRADO DOBLE S C/2|08|CELULOSA-LINEA BLANCA|-3561.000|11.82400000000000|-42105.26400000000|0|0|1
TOP_VALOR_STOCK_NEGATIVO|CHEMIE|1|ALMACEN PRINCIPAL|33051901|ADY'OX LG - DESINFECTANTE INSTALACIONES Y C/C|03|PROD. ESPECIALES INDUST. ALIMENTARIA|-4870.000|2.852000000000000|-13889.24000000000|0|0|1
TOP_VALOR_STOCK_NEGATIVO|CHEMIE|1|ALMACEN PRINCIPAL|11023800|CHEMGRAS DS - DESENGRASANTE INDUSTRIAL|01|DESENGRASANTES Y LIMPIADORES GENERALES|-11081.000|0.8200000000000000|-9086.420000000000|0|0|1
TOP_VALOR_STOCK_NEGATIVO|CHEMIE|1|ALMACEN PRINCIPAL|33051902|BDA 9135 - BIOCIDA CIRCUITOS REFRIGERACION|03|PROD. ESPECIALES INDUST. ALIMENTARIA|-2496.000|3.160000000000000|-7887.360000000001|0|0|1
TOP_VALOR_STOCK_NEGATIVO|CHEMIE|1|ALMACEN PRINCIPAL|65MAD015|ESMALTE MULTIADHERENTE SATINADO S/RAPIDO ENV.15|06|PINTURAS Y DISOLVENTES|-990.000|7.935000000000000|-7855.650000000000|0|0|1
