EMPRESA|LOTE|CODIGO_LOTE|CODIGO_ALMACEN|ALMACEN|REFE|REFERENCIA1|REFERENCIA2|REFERENCIA3|DESCRIPCION|CODIGO_FAMILIA|FAMILIA|FECHA_ENVASADO|FECHA_CADUCIDAD|DIAS_HASTA_CADUCIDAD|CANTIDAD|CANTIDAD2|FLAG_SIN_CADUCIDAD|FLAG_CADUCADO|FLAG_CADUCA_30D|FLAG_CADUCA_90D|FLAG_CADUCA_180D|FLAG_CANTIDAD_NEGATIVA|FLAG_CANTIDAD_CERO|FLAG_REFERENCIA_GENERICA|FLAG_SIN_FAMILIA
ECOCLEAN|01T212||1|ALMACEN PRINCIPAL|32023800,,|32023800|||IBERFARM-L / ACEITE LIGERO ATOXICO|03|PROD. ESPECIALES INDUST. ALIMENTARIA|2011-01-18|2012-01-18|-5243|30.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|01T224/30||1|ALMACEN PRINCIPAL|12003800,,|12003800|||CHEMGRAS EC-DESENGRASANTE MAQ.AUT.|01|DESENGRASANTES Y LIMPIADORES GENERALES|2011-01-25|2012-01-25|-5236|90.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|240111/05||1|ALMACEN PRINCIPAL|13001700,,|13001700|||VITSOL PINO-LIMPIADOR INDUST.CONCENT.|01|DESENGRASANTES Y LIMPIADORES GENERALES|2011-01-25|2012-01-25|-5236|120.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|01T224||1|ALMACEN PRINCIPAL|13033800,,|13033800|||BRINET L - LIMPIADOR BIOALCOHOL CONCENT.|01|DESENGRASANTES Y LIMPIADORES GENERALES|2011-01-25|2012-01-25|-5236|120.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|110069||1|ALMACEN PRINCIPAL|21003800,,|21003800|||DERGEL SO - GEL DE MANOS SIN RESIDUO|02|JABONES Y PASTA LAVAMANOS|2011-01-26|2012-01-26|-5235|110.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|800677||1|ALMACEN PRINCIPAL|32003801,,|32003801|||TR-20 / ADITIVO DESINCRUSTANTE AGUA LAVADO|03|PROD. ESPECIALES INDUST. ALIMENTARIA|2011-01-26|2012-01-26|-5235|60.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|020211/05||1|ALMACEN PRINCIPAL|13011700,,|13011700|||XAMPIX - LIMPIADOR DESODORIZANTE CONCENT|01|DESENGRASANTES Y LIMPIADORES GENERALES|2011-02-03|2012-02-03|-5227|140.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|02T204||1|ALMACEN PRINCIPAL|13043800,,|13043800|||BRINET BQ - LIMPIADOR BIOALCOHOL|01|DESENGRASANTES Y LIMPIADORES GENERALES|2011-02-07|2012-02-07|-5223|20.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|800708/30||1|ALMACEN PRINCIPAL|32013800,,|32013800|||TR-100 / LIMPIADOR DESINCRUSTANTE CONCENT.|03|PROD. ESPECIALES INDUST. ALIMENTARIA|2011-02-07|2012-02-07|-5223|120.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|800704||1|ALMACEN PRINCIPAL|32073801,,|32073801|||OXISAN - ADITIVO HIGIENIZANTE OXIGENADO|03|PROD. ESPECIALES INDUST. ALIMENTARIA|2011-02-07|2012-02-07|-5223|55.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|100211||1|ALMACEN PRINCIPAL|13001700,,|13001700|||VITSOL PINO-LIMPIADOR INDUST.CONCENT.|01|DESENGRASANTES Y LIMPIADORES GENERALES|2011-02-11|2012-02-11|-5219|120.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|021107/05||1|ALMACEN PRINCIPAL|12013800,,|12013800|||BRINET MG - DETERGENTE FREGADORA|01|DESENGRASANTES Y LIMPIADORES GENERALES|2011-02-14|2012-02-14|-5216|20.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|021118||1|ALMACEN PRINCIPAL|13043800,,|13043800|||BRINET BQ - LIMPIADOR BIOALCOHOL|01|DESENGRASANTES Y LIMPIADORES GENERALES|2011-02-14|2012-02-14|-5216|60.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|021117||1|ALMACEN PRINCIPAL|15033800,,|15033800|||DETERLAV S - LAVAVAJ. MANUAL CONCENT.|01|DESENGRASANTES Y LIMPIADORES GENERALES|2011-02-14|2012-02-14|-5216|60.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|021119/30||1|ALMACEN PRINCIPAL|11083800,,|11083800|||CHEMGRAS AS - DESENGRASANTE USO GENERAL|01|DESENGRASANTES Y LIMPIADORES GENERALES|2011-02-16|2012-02-16|-5214|60.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|800705/05||1|ALMACEN PRINCIPAL|13033800,,|13033800|||BRINET L - LIMPIADOR BIOALCOHOL CONCENT.|01|DESENGRASANTES Y LIMPIADORES GENERALES|2011-02-16|2012-02-16|-5214|40.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|021115||1|ALMACEN PRINCIPAL|32023800,,|32023800|||IBERFARM-L / ACEITE LIGERO ATOXICO|03|PROD. ESPECIALES INDUST. ALIMENTARIA|2011-02-16|2012-02-16|-5214|90.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|800725||1|ALMACEN PRINCIPAL|32063800,,|32063800|||CHEMFOAM - ANTIESPUMANTE CONCENTRADO|03|PROD. ESPECIALES INDUST. ALIMENTARIA|2011-02-16|2012-02-16|-5214|5.000|0.000|0|1|0|0|0|0|0|0|0
