ORIGEN|EMPRESA|CODIGO_CLIENTE|RAZON_SOCIAL|REFERENCIA1|DESCRIPCION|CODIGO_FAMILIA|FAMILIA|PVP1_SIN_IVA|PRECIO_ESPECIAL|COSTE_MEDIO|MARGEN_PCT|REBAJA_PCT_VS_PVP1|MOTIVO
PRECIOS_BASE|ALMERIENSE|||000000|FOTOCELULA HORQUILLA PNP 3 HILOS|14|FOTOCELULAS/FINAL CARRERA/ETC|144.5||80.283|44.44083044982699||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|SENSOR PROX. INDUCTIVO 5 MTS. XUB1BPANL5 C/3 HILOS TELEMECANICA|14|FOTOCELULAS/FINAL CARRERA/ETC|49.9||28.509|42.86773547094188||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FOTOCELULA POLARIZADA REFLEXION ESPEJO 15 MTS.|14|FOTOCELULAS/FINAL CARRERA/ETC|86.0||42.3|50.8139534883721||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FOTOCELULA REFLEXION ESPEJO S15 M18 PNP|14|FOTOCELULAS/FINAL CARRERA/ETC|44.4||22.2|50.0||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|SENSOR PROX. INDUCTIVO M18 PNP 3 HILOS|14|FOTOCELULAS/FINAL CARRERA/ETC|27.3||13.65|50.0||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FOTOCELULA REFLEXION SOBRE ESPEJO 0,1-3 MTS. PNP|14|FOTOCELULAS/FINAL CARRERA/ETC|45.8||26.961|41.13318777292576||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FOTOCELULA REFLEXION SOBRE ESPEJO 0,1-4 M PNP M12|14|FOTOCELULAS/FINAL CARRERA/ETC|67.4||39.61|41.23145400593472||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FOTOCELULA REFLEXION DIRECTA 2000mm AJUSTABLE|14|FOTOCELULAS/FINAL CARRERA/ETC|80.9||51.33|36.55129789864031||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|DETECTOR INDUCTIVO M12 12/24V DC PNP 3 HILOS|14|FOTOCELULAS/FINAL CARRERA/ETC|31.6||17.56|44.43037974683545||REFERENCIA_GENERICA
PRECIOS_BASE|ALMERIENSE|||000000|FOTOCELULA MULTIALIMENT. REFLEX. ESPEJO 6MTS|14|FOTOCELULAS/FINAL CARRERA/ETC|95.95||53.3|44.45023449713393||REFERENCIA_GENERICA
