EMPRESA|CODIGO_ALMACEN|ALMACEN|REFE|REFERENCIA1|REFERENCIA2|REFERENCIA3|DESCRIPCION|CODIGO_FAMILIA|FAMILIA|STOCK_ACTUAL|ULTIMO_PRECIO_COMPRA|PRECIO_MEDIO_COMPRA|PRECIO_COSTO|PRECIO_ENTRADA|PVP1_SIN_IVA|PVP2_SIN_IVA|PVP3_SIN_IVA|PVP4_SIN_IVA|PVP5_SIN_IVA|PVP1_CON_IVA|PVP2_CON_IVA|PVP3_CON_IVA|PVP4_CON_IVA|PVP5_CON_IVA|BENEFICIO1|BENEFICIO2|BENEFICIO3|BENEFICIO4|BENEFICIO5|DESCUENTO1|DESCUENTO2|DESCUENTO3|DESCUENTO4|DESCUENTO5|DESCUENTO6|MARGEN_EUR_PVP1_COSTE_MEDIO|MARGEN_PCT_PVP1_COSTE_MEDIO|MARGEN_EUR_PVP1_ULT_COMPRA|MARGEN_PCT_PVP1_ULT_COMPRA|FLAG_SIN_PVP1|FLAG_SIN_COSTE_MEDIO|FLAG_PVP_MENOR_COSTE_MEDIO|FLAG_REFERENCIA_GENERICA|FLAG_SIN_FAMILIA|DESUSO|CONTROL_STOCK
CHEMIE|1|ALMACEN PRINCIPAL|12013800,,|12013800|||BRINET MG - DETERGENTE FREGADORA|01|DESENGRASANTES Y LIMPIADORES GENERALES|-695.0|0.92|0.92|0.0|0.0|3.1|2.8|2.5|2.2|0.0|3.75|3.39|3.03|2.66|0.0|236.96|204.35|171.74|139.13|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.18|70.3225806451613|2.18|70.3225806451613|0|0|0|0|0|F|T                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CHEMIE|1|ALMACEN PRINCIPAL|12013800CTD,,|12013800CTD|||BRINET MG - CONTENEDOR|01|DESENGRASANTES Y LIMPIADORES GENERALES|-35.0|4.5|4.5|0.0|0.0|4.95|4.85|0.0|0.0|0.0|5.99|5.87|0.0|0.0|0.0|10.0|7.78|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.4500000000000002|9.090909090909093|0.4500000000000002|9.090909090909093|0|0|0|0|0|T|T                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
CHEMIE|1|ALMACEN PRINCIPAL|12023800,,|12023800|||DEGRAS GC - DESENGRASANTE FREGADORAS|01|DESENGRASANTES Y LIMPIADORES GENERALES|1610.0|1.61|1.384751|0.0|0.0|4.2|3.9|3.6|3.3|0.0|5.08|4.72|4.36|3.99|0.0|160.87|142.24|123.6|104.97|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.815249|67.0297380952381|2.59|61.66666666666666|0|0|0|0|0|F|T                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
CHEMIE|1|ALMACEN PRINCIPAL|12033800,,|12033800|||BRINET DS - DETERGENTE USO GENERAL|01|DESENGRASANTES Y LIMPIADORES GENERALES|50.0|0.82|0.808|0.0|0.0|2.5|2.3|2.1|1.9|0.0|3.03|2.78|2.54|2.3|0.0|204.88|180.49|156.1|131.71|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.692|67.67999999999999|1.68|67.2|0|0|0|0|0|F|T                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CHEMIE|1|ALMACEN PRINCIPAL|13001700,,|13001700|||VITSOL PINO-LIMPIADOR INDUST.CONCENT.|01|DESENGRASANTES Y LIMPIADORES GENERALES|-640.0|1.83|1.83|0.0|0.0|4.1|3.8|3.5|3.2|0.0|4.96|4.6|4.24|3.87|0.0|124.04|107.65|91.26|74.86|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.27|55.36585365853658|2.27|55.36585365853658|0|0|0|0|0|F|T                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
CHEMIE|1|ALMACEN PRINCIPAL|13011700,,|13011700|||XAMPIX - LIMPIADOR DESODORIZANTE CONCENT|01|DESENGRASANTES Y LIMPIADORES GENERALES|920.0|1.33|1.025298|0.0|0.0|3.2|3.0|2.8|2.6|0.0|3.87|3.63|3.39|3.15|0.0|140.6|125.56|110.53|95.49|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.174702|67.95943749999999|1.87|58.4375|0|0|0|0|0|F|T                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
CHEMIE|1|ALMACEN PRINCIPAL|13013800,,|13013800|||BRINET CT - LIMPIADOR PERFUMADO MULTIUSOS|01|DESENGRASANTES Y LIMPIADORES GENERALES|0.0|0.807|0.733|0.0|0.0|2.6|2.3|2.0|1.7|0.0|3.15|2.78|2.42|2.06|0.0|222.18|185.01|147.83|110.66|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.867|71.8076923076923|1.793|68.96153846153847|0|0|0|0|0|T|T                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
CHEMIE|1|ALMACEN PRINCIPAL|13023800,,|13023800|||FREGASUELOS ALVASA TALCO|01|DESENGRASANTES Y LIMPIADORES GENERALES|0.0|0.24|0.24|0.0|0.0|1.2|1.0|0.8|0.6|0.0|1.45|1.21|0.97|0.73|0.0|400.0|316.67|233.33|150.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.96|80.0|0.96|80.0|0|0|0|0|0|F|T                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
CHEMIE|1|ALMACEN PRINCIPAL|13033800,,|13033800|||BRINET L - LIMPIADOR BIOALCOHOL CONCENT.|01|DESENGRASANTES Y LIMPIADORES GENERALES|-615.0|0.8|0.73|0.0|0.0|2.8|2.5|2.2|1.9|0.0|3.39|3.03|2.66|2.3|0.0|250.0|212.5|175.0|137.5|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.07|73.92857142857143|2.0|71.42857142857143|0|0|0|0|0|F|T                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
CHEMIE|1|ALMACEN PRINCIPAL|13043800,,|13043800|||BRINET BQ - LIMPIADOR BIOALCOHOL CONCENT.|01|DESENGRASANTES Y LIMPIADORES GENERALES|1995.0|0.79|0.783718|0.0|0.0|2.8|2.5|2.2|1.9|0.0|3.39|3.03|2.66|2.3|0.0|254.43|216.46|178.48|140.51|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.016282|72.01007142857144|2.01|71.78571428571429|0|0|0|0|0|F|T                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
