EMPRESA|CODIGO_ALMACEN|ALMACEN|REFE|REFERENCIA1|REFERENCIA2|REFERENCIA3|DESCRIPCION|CODIGO_FAMILIA|FAMILIA|UBICACION|STOCK_INICIAL|STOCK_ACTUAL|STOCK_MAXIMO|STOCK_MINIMO|STOCK_RESERVADO|STOCK_ACTUAL2|CANTIDAD_TOTAL|ULTIMO_PRECIO_COMPRA|PRECIO_MEDIO_COMPRA|PRECIO_MEDIO_INICIAL|PRECIO_COSTO|PRECIO_ENTRADA|PVP1_SIN_IVA|PVP2_SIN_IVA|PVP3_SIN_IVA|PVP4_SIN_IVA|PVP5_SIN_IVA|PVP1_CON_IVA|PVP2_CON_IVA|PVP3_CON_IVA|PVP4_CON_IVA|PVP5_CON_IVA|VALOR_STOCK_COSTE_MEDIO|VALOR_STOCK_ULT_COMPRA|MARGEN_PVP1_VS_COSTE_MEDIO|DESUSO|CONTROL_STOCK|FLAG_STOCK_NEGATIVO|FLAG_STOCK_CERO|FLAG_BAJO_MINIMO|FLAG_SOBRE_MAXIMO|FLAG_SIN_COSTE_MEDIO|FLAG_SIN_FAMILIA|FLAG_REFERENCIA_GENERICA|FLAG_NO_EXISTE_ARTICULO|STOCK_INICIAL_N|STOCK_ACTUAL_N|STOCK_MAXIMO_N|STOCK_MINIMO_N|STOCK_RESERVADO_N|STOCK_ACTUAL2_N|CANTIDAD_TOTAL_N|ULTIMO_PRECIO_COMPRA_N|PRECIO_MEDIO_COMPRA_N|PRECIO_MEDIO_INICIAL_N|PRECIO_COSTO_N|PRECIO_ENTRADA_N|PVP1_SIN_IVA_N|PVP1_CON_IVA_N|VALOR_STOCK_COSTE_MEDIO_N|VALOR_STOCK_ULT_COMPRA_N|MARGEN_PVP1_VS_COSTE_MEDIO_N|FLAG_STOCK_NEGATIVO_N|FLAG_STOCK_CERO_N|FLAG_BAJO_MINIMO_N|FLAG_SOBRE_MAXIMO_N|FLAG_SIN_COSTE_MEDIO_N|FLAG_SIN_FAMILIA_N|FLAG_REFERENCIA_GENERICA_N|FLAG_NO_EXISTE_ARTICULO_N
CHEMIE|1|ALMACEN PRINCIPAL|001060IX,,|001060IX|||PORTARROLLOS PAPEL HIGIENICO INOX SATINADO|11|APARATOS Y DOSIFICADORES||0.000|-6.000|0.000|0.000|0.000|-6.000|0.000|28.89000000000000|28.89000000000000|28.89000000000000|0.0000000000000000|0.0000000000000000|63.60000000000000|57.80000000000000|52.00000000000000|46.20000000000000|0.0000000000000000|76.96|69.94|62.92|55.90|0.00|-173.3400000000000|-173.3400000000000|34.71000000000000|F|T|1|0|0|0|0|0|0|0|0.0|-6.0|0.0|0.0|0.0|-6.0|0.0|28.89|28.89|28.89|0.0|0.0|63.6|76.96|-173.34|-173.34|34.71|1|0|0|0|0|0|0|0
CHEMIE|1|ALMACEN PRINCIPAL|00107032,,|00107032|||DISPENSADOR PAPEL MECANICOS SUELO|11|APARATOS Y DOSIFICADORES||1.000|44.000|0.000|0.000|0.000|34.000|96.000|21.18000000000000|18.45933400000000|21.03540000000000|0.0000000000000000|0.0000000000000000|36.00000000000000|33.90000000000000|31.80000000000000|29.70000000000000|0.0000000000000000|43.56|41.02|38.48|35.94|0.00|812.2106959999999|931.9200000000000|17.54066600000000|F|T|0|0|0|0|0|0|0|0|1.0|44.0|0.0|0.0|0.0|34.0|96.0|21.18|18.459334|21.0354|0.0|0.0|36.0|43.56|812.2106959999999|931.92|17.540666|0|0|0|0|0|0|0|0
CHEMIE|1|ALMACEN PRINCIPAL|00108017,,|00108017|||DISPENSADOR BOBINA MECANICO MURAL|11|APARATOS Y DOSIFICADORES||0.000|7.000|0.000|0.000|0.000|0.000|17.000|18.77000000000000|14.87714300000000|13.22230000000000|0.0000000000000000|0.0000000000000000|31.90000000000000|30.00000000000000|28.20000000000000|26.30000000000000|0.0000000000000000|38.60|36.30|34.12|31.82|0.00|104.1400010000000|131.3900000000000|17.02285700000000|F|T|0|0|0|0|0|0|0|0|0.0|7.0|0.0|0.0|0.0|0.0|17.0|18.77|14.877143|13.2223|0.0|0.0|31.9|38.6|104.140001|131.39|17.022857|0|0|0|0|0|0|0|0
CHEMIE|1|ALMACEN PRINCIPAL|00109044,,|00109044|||SECAMANOS ALTO RENDIMIENTO OPTICO BLANCO|11|APARATOS Y DOSIFICADORES||0.000|1.000|0.000|0.000|0.000|1.000|36.000|85.00000000000000|85.00000000000000|57.09610000000000|0.0000000000000000|0.0000000000000000|187.0000000000000|170.0000000000000|153.0000000000000|136.0000000000000|0.0000000000000000|226.27|205.70|185.13|164.56|0.00|85.00000000000000|85.00000000000000|102.0000000000000|F|T|0|0|0|0|0|0|0|0|0.0|1.0|0.0|0.0|0.0|1.0|36.0|85.0|85.0|57.0961|0.0|0.0|187.0|226.27|85.0|85.0|102.0|0|0|0|0|0|0|0|0
CHEMIE|1|ALMACEN PRINCIPAL|00109045,,|00109045|||SECAMANOS ALTO RENDIMIENTO ACERO INOX|11|APARATOS Y DOSIFICADORES||0.000|-5.000|0.000|0.000|0.000|-5.000|0.000|127.0000000000000|89.00000000000000|89.00000000000000|0.0000000000000000|0.0000000000000000|279.4000000000000|254.0000000000000|228.0000000000000|203.0000000000000|0.0000000000000000|338.07|307.34|275.88|245.63|0.00|-445.0000000000000|-635.0000000000000|190.4000000000000|F|T|1|0|0|0|0|0|0|0|0.0|-5.0|0.0|0.0|0.0|-5.0|0.0|127.0|89.0|89.0|0.0|0.0|279.4|338.07|-445.0|-635.0|190.4|1|0|0|0|0|0|0|0
CHEMIE|1|ALMACEN PRINCIPAL|00200000,,|00200000|||PULVERIZADOR MANUAL BOTELLA 1000cc|11|APARATOS Y DOSIFICADORES||0.000|1703.000|0.000|0.000|0.000|-10.000|3058.000|0.6200000000000000|0.7362670000000000|0.0000000000000000|0.0000000000000000|0.0000000000000000|1.600000000000000|1.500000000000000|1.400000000000000|1.300000000000000|0.0000000000000000|1.94|1.82|1.69|1.57|0.00|1253.862701000000|1055.860000000000|0.8637330000000001|F|T|0|0|0|0|0|0|0|0|0.0|1703.0|0.0|0.0|0.0|-10.0|3058.0|0.62|0.736267|0.0|0.0|0.0|1.6|1.94|1253.862701|1055.86|0.8637330000000001|0|0|0|0|0|0|0|0
CHEMIE|1|ALMACEN PRINCIPAL|00201000,,|00201000|||PULVERIZADOR MANUAL ATOMIZADOR ESPECIAL|11|APARATOS Y DOSIFICADORES||0.000|5187.000|0.000|0.000|0.000|207.000|760.000|1.352000000000000|0.6663080000000000|0.0000000000000000|0.0000000000000000|0.0000000000000000|2.500000000000000|2.400000000000000|2.300000000000000|2.200000000000000|0.0000000000000000|3.03|2.90|2.78|2.66|0.00|3456.139596000000|7012.824000000001|1.833692000000000|F|T|0|0|0|0|0|0|0|0|0.0|5187.0|0.0|0.0|0.0|207.0|760.0|1.352|0.666308|0.0|0.0|0.0|2.5|3.03|3456.139596|7012.824000000001|1.833692|0|0|0|0|0|0|0|0
CHEMIE|1|ALMACEN PRINCIPAL|0020100E,,|0020100E|||PULVERIZADOR ESPECIAL ATOMIZADOR ESPUMANTE|11|APARATOS Y DOSIFICADORES||0.000|40.000|0.000|0.000|0.000|-2.000|-16.000|0.4000000000000000|0.4000000000000000|0.4000000000000000|0.0000000000000000|0.0000000000000000|0.9000000000000000|0.8000000000000000|0.7000000000000000|0.6000000000000000|0.0000000000000000|1.09|0.97|0.85|0.73|0.00|16.00000000000000|16.00000000000000|0.5000000000000000|F|T|0|0|0|0|0|0|0|0|0.0|40.0|0.0|0.0|0.0|-2.0|-16.0|0.4|0.4|0.4|0.0|0.0|0.9|1.09|16.0|16.0|0.5|0|0|0|0|0|0|0|0
CHEMIE|1|ALMACEN PRINCIPAL|00202000,,|00202000|||PULVERIZADOR INDUSTRIAL IK 6Lts.|11|APARATOS Y DOSIFICADORES||0.000|-8.000|0.000|0.000|0.000|-3.000|10.000|50.32000000000000|60.77000000000000|40.52620000000000|0.0000000000000000|0.0000000000000000|79.00000000000000|75.95999999999999|72.90000000000001|69.90000000000001|0.0000000000000000|95.59|91.91|88.21|84.58|0.00|-486.1600000000000|-402.5600000000000|18.23000000000000|F|T|1|0|0|0|0|0|0|0|0.0|-8.0|0.0|0.0|0.0|-3.0|10.0|50.32|60.77|40.5262|0.0|0.0|79.0|95.59|-486.16|-402.56|18.23|1|0|0|0|0|0|0|0
CHEMIE|1|ALMACEN PRINCIPAL|00202001,,|00202001|||PULVERIZADOR PRESION PLUVIA 5LTS.|11|APARATOS Y DOSIFICADORES||0.000|-8.000|0.000|0.000|0.000|-7.000|0.000|9.680999999999999|9.680999999999999|9.680999999999999|0.0000000000000000|0.0000000000000000|24.20000000000000|21.30000000000000|18.40000000000000|15.50000000000000|0.0000000000000000|29.28|25.77|22.26|18.76|0.00|-77.44799999999999|-77.44799999999999|14.51900000000000|F|T|1|0|0|0|0|0|0|0|0.0|-8.0|0.0|0.0|0.0|-7.0|0.0|9.681|9.681|9.681|0.0|0.0|24.2|29.28|-77.448|-77.448|14.519|1|0|0|0|0|0|0|0
