EMPRESA|EJERCICIO|FECHA|CUENTA|TITULO_CUENTA|CONCEPTO|IMPORTE|DEBE_HABER|DEBE|HABER|TIPO_MOVIMIENTO|SALDO_SIGNO_GESTION|FLAG_ACTIVO_20_21|FLAG_AMORT_ACUMULADA_28|FLAG_GASTO_AMORT_681_682|FLAG_PERDIDA_INMOV_671|FLAG_BENEFICIO_INMOV_771|FLAG_APERTURA|FLAG_CIERRE|FLAG_REGULARIZACION|FLAG_VEHICULO
CHEMIE|2025|2025-12-31|6810000000|AMORTIZACION INM. INMATERIAL|Amortización (TUBERIA CONTRA INCENDIOS)|176.60|D|176.60|0.00|GASTO_AMORT_INTANGIBLE_681|176.60|0|0|1|0|0|0|0|0|0
CHEMIE|2025|2025-03-31|7710000000|BENEF. INMOVILIZADO MATERIAL|Fra. Nº 2-1,MATEO MARIN HUETE|1357.46|H|0.00|1357.46|BENEFICIO_INMOVILIZADO_771|1357.46|0|0|0|0|1|0|0|0|0
CHEMIE|2025|2025-12-31|7710000000|BENEF. INMOVILIZADO MATERIAL|Asiento de Regularización|1357.46|D|1357.46|0.00|BENEFICIO_INMOVILIZADO_771|-1357.46|0|0|0|0|1|0|0|1|0
ALMERIENSE|2024|2024-02-14|2060000000||Fra. Nº 1-2400040,BURGOS ATU, S.L.|2000.00|D|2000.00|0.00|INMOVILIZADO_INTANGIBLE_20|2000.00|1|0|0|0|0|0|0|0|0
ALMERIENSE|2024|2024-12-31|2060000000||Asiento de Cierre|2000.00|H|0.00|2000.00|INMOVILIZADO_INTANGIBLE_20|-2000.00|1|0|0|0|0|0|1|0|0
ALMERIENSE|2024|2024-01-01|2110000002||Asiento de Apertura|86697.52|D|86697.52|0.00|INMOVILIZADO_MATERIAL_21|86697.52|1|0|0|0|0|1|0|0|0
ALMERIENSE|2024|2024-12-31|2110000002||Asiento de Cierre|86697.52|H|0.00|86697.52|INMOVILIZADO_MATERIAL_21|-86697.52|1|0|0|0|0|0|1|0|0
ALMERIENSE|2024|2024-01-01|2150000000||Asiento de Apertura|13043.62|D|13043.62|0.00|INMOVILIZADO_MATERIAL_21|13043.62|1|0|0|0|0|1|0|0|0
ALMERIENSE|2024|2024-05-08|2150000000||Fra. Nº 1-145707,ELECTRODOMESTICOS DIVEL|1240.38|D|1240.38|0.00|INMOVILIZADO_MATERIAL_21|1240.38|1|0|0|0|0|0|0|0|0
ALMERIENSE|2024|2024-12-31|2150000000||Asiento de Cierre|14284.00|H|0.00|14284.00|INMOVILIZADO_MATERIAL_21|-14284.00|1|0|0|0|0|0|1|0|0
ALMERIENSE|2024|2024-01-01|2150000001||Asiento de Apertura|3831.45|D|3831.45|0.00|INMOVILIZADO_MATERIAL_21|3831.45|1|0|0|0|0|1|0|0|0
ALMERIENSE|2024|2024-12-31|2150000001||Asiento de Cierre|3831.45|H|0.00|3831.45|INMOVILIZADO_MATERIAL_21|-3831.45|1|0|0|0|0|0|1|0|0
ALMERIENSE|2024|2024-01-01|2150000002||Asiento de Apertura|1512.00|D|1512.00|0.00|INMOVILIZADO_MATERIAL_21|1512.00|1|0|0|0|0|1|0|0|0
ALMERIENSE|2024|2024-12-31|2150000002||Asiento de Cierre|1512.00|H|0.00|1512.00|INMOVILIZADO_MATERIAL_21|-1512.00|1|0|0|0|0|0|1|0|0
ALMERIENSE|2024|2024-05-22|2150000003||Fra. Nº 1-966,MADERAS VIUDEZ, S.L.|1056.00|D|1056.00|0.00|INMOVILIZADO_MATERIAL_21|1056.00|1|0|0|0|0|0|0|0|0
ALMERIENSE|2024|2024-12-31|2150000003||Asiento de Cierre|1056.00|H|0.00|1056.00|INMOVILIZADO_MATERIAL_21|-1056.00|1|0|0|0|0|0|1|0|0
