EMPRESA|REFE|REFERENCIA1|REFERENCIA2|REFERENCIA3|DESCRIPCION|CODIGO_IVA|CODIGO_FAMILIA|FAMILIA|CODIGO_SUBFAMILIA|FECHA_ALTA|DESUSO|CONTROL_STOCK|RECALCULAR_PM|BASE|UNIDADES_PALET|KILOS_UNIDAD
ALMERIENSE|000000,E2ELX4ME12,|000000|E2ELX4ME12||DETECTOR PROXIMIDAD CORTO E2EL|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2004-06-09|F|T|T||0.000|0.000
ALMERIENSE|000000,ZCKD15,|000000|ZCKD15||FINAL CARRERA CABEZA PALANCA ROLDANA D15|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2014-12-12|F|T|T||0.000|0.000
ALMERIENSE|000000,ZCKM1,|000000|ZCKM1||FINAL CARRERA CUERPO M1|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2014-12-12|F|T|T||0.000|0.000
ALMERIENSE|000000,D4D1120N,|000000|D4D1120N||FINAL CARRERA D4D ROLDANA|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2003-11-12|F|T|T||0.000|0.000
ALMERIENSE|000000,D4MC2020,|000000|D4MC2020||FINAL CARRERA D4MC EMBOLO ROLDANA|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2004-02-16|F|T|T||0.000|0.000
ALMERIENSE|000000,D4MC5020,|000000|D4MC5020||FINAL CARRERA D4MC EMBOLO ROLDANA|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2004-01-05|F|T|T||0.000|0.000
ALMERIENSE|000000,D4N1132,|000000|D4N1132||FINAL CARRERA D4N ROLDANA|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2003-11-12|F|T|T||0.000|0.000
ALMERIENSE|000000,D4N1132N,|000000|D4N1132N||FINAL CARRERA D4N ROLDANA PULSANTE|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2003-11-12|F|T|T||0.000|0.000
ALMERIENSE|000000,D4N112G,|000000|D4N112G||FINAL CARRERA D4N ROLDANA REGULABLE|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2003-11-12|F|T|T||0.000|0.000
ALMERIENSE|000000,D4NS1AF,|000000|D4NS1AF||FINAL CARRERA D4NS PG13.5|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2012-04-11|F|T|T||0.000|0.000
ALMERIENSE|000000,LS31LPS11R,|000000|LS31LPS11R||FINAL CARRERA LS31 1M|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2004-01-21|F|T|T||0.000|0.000
ALMERIENSE|000000,FD874,|000000|FD874||FINAL CARRERA PIZZATO C/CUERDA S/REINICIO 1NC SLOW ACTION|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2003-11-12|F|T|T||0.000|0.000
ALMERIENSE|000000,FD576,|000000|FD576||FINAL CARRERA PIZZATO C/TIRADOR ANILLA 1NA+1NC|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2003-11-12|F|T|T||0.000|0.000
ALMERIENSE|000000,XCKP2145,|000000|XCKP2145||FINAL CARRERA XCK PALANCA REGULABLE+ROLDANA|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2011-12-30|F|T|T||0.000|0.000
ALMERIENSE|000000,XCKP118,|000000|XCKP118||FINAL CARRERA XCK PALANCA+ROLDANA|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2011-12-30|F|T|T||0.000|0.000
ALMERIENSE|000000,Z15GQ22B,|000000|Z15GQ22B||FINAL CARRERA Z-15 EMBOLO ROLDANA|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2003-10-29|F|T|T||0.000|0.000
ALMERIENSE|000000,Z15HW24B,|000000|Z15HW24B||FINAL CARRERA Z-15 PALANCA LARGA|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2003-10-29|F|T|T||0.000|0.000
ALMERIENSE|000000,PMD8RGT,|000000|PMD8RGT||FOTOCELULA  REFLEXION DIRECTA 800mm|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2004-01-21|F|T|T||0.000|0.000
ALMERIENSE|000000,VTE184P8240,|000000|VTE184P8240||FOTOCELULA  REFLEXION DIRECTA 800mm M18 PNP C/ CONECTOR|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2004-01-21|F|T|T||0.000|0.000
ALMERIENSE|000000,PMD8RG,|000000|PMD8RG||FOTOCELULA  REFLEXION DIRECTA 800mm S/TEMPORIZADOR|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2004-01-21|F|T|T||0.000|0.000
ALMERIENSE|000000,EO1804PPAS,|000000|EO1804PPAS||FOTOCELULA DIRECTA M18 400mm|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2003-11-17|F|T|T||0.000|0.000
ALMERIENSE|000000,EO1804NPAS,|000000|EO1804NPAS||FOTOCELULA DIRECTA M18-400mm|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2003-11-17|F|T|T||0.000|0.000
ALMERIENSE|000000,XUVH0312,|000000|XUVH0312||FOTOCELULA HORQUILLA PNP 3 HILOS|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2005-11-14|F|T|T||0.000|0.000
ALMERIENSE|000000,E3JKRR125MO,|000000|E3JKRR125MO||FOTOCELULA MULTIALIMENT. REFLEX. ESPEJO 6MTS|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2004-01-26|F|T|T||0.000|0.000
ALMERIENSE|000000,E3JMDS70M4,|000000|E3JMDS70M4||FOTOCELULA MULTIALIMENTACION E3JM|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2004-01-26|F|T|T||0.000|0.000
ALMERIENSE|000000,E3JXDS30M12M,|000000|E3JXDS30M12M||FOTOCELULA MULTIALIMENTACION E3JX|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2004-01-26|F|T|T||0.000|0.000
ALMERIENSE|000000,RLK31-8,|000000|RLK31-8||FOTOCELULA OPTICO DETECCION DIRECTA PEPPERL+FUCHS|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2005-11-14|F|T|T||0.000|0.000
ALMERIENSE|000000,CLEMSAF25,|000000|CLEMSAF25||FOTOCELULA POLARIZADA REFLEXION ESPEJO 15 MTS.|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2009-12-29|F|T|T||0.000|0.000
ALMERIENSE|000000,EP1820NPAS,|000000|EP1820NPAS||FOTOCELULA REFLEX. ESPEJO 2MTS.|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2004-02-05|F|T|T||0.000|0.000
ALMERIENSE|000000,E32TC200,|000000|E32TC200||FOTOCELULA REFLEXION DE BARRERA 2 MTS.|G||||2024-05-02|F|T|T||0.000|0.000
ALMERIENSE|000000,PC50CND10R,|000000|PC50CND10R||FOTOCELULA REFLEXION DIRECTA 1000mm|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2004-06-16|F|T|T||0.000|0.000
ALMERIENSE|000000,PH18CND10PASA,|000000|PH18CND10PASA||FOTOCELULA REFLEXION DIRECTA 1000MM|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2003-11-17|F|T|T||0.000|0.000
ALMERIENSE|000000,PC50CND20RP,|000000|PC50CND20RP||FOTOCELULA REFLEXION DIRECTA 2000mm AJUSTABLE|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2004-06-16|F|T|T||0.000|0.000
ALMERIENSE|000000,ED5506PPAP,|000000|ED5506PPAP||FOTOCELULA REFLEXION DIRECTA 600mm|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2003-11-17|F|T|T||0.000|0.000
ALMERIENSE|000000,PC50CNP06R,|000000|PC50CNP06R||FOTOCELULA REFLEXION DIRECTA 6M|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2004-06-16|F|T|T||0.000|0.000
ALMERIENSE|000000,PA18ALD04T,|000000|PA18ALD04T||FOTOCELULA REFLEXION DIRECTA AJUSTABLE|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2005-10-27|F|T|T||0.000|0.000
ALMERIENSE|000000,PA18CLD04T,|000000|PA18CLD04T||FOTOCELULA REFLEXION DIRECTA REG.400|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2007-10-09|F|T|T||0.000|0.000
ALMERIENSE|000000,WTE280-2H4331,|000000|WTE280-2H4331||FOTOCELULA REFLEXION DIRECTA SICK WTE 1500MT|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2014-07-24|F|T|T||0.000|0.000
ALMERIENSE|000000,GL6P4111,|000000|GL6P4111||FOTOCELULA REFLEXION DOBLE LENTE PNP|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2022-04-26|F|T|T||0.000|0.000
ALMERIENSE|000000,PMP12RG131,|000000|PMP12RG131||FOTOCELULA REFLEXION ESPEJO 12M.|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2005-11-14|F|T|T||0.000|0.000
ALMERIENSE|000000,RLK31-54,|000000|RLK31-54||FOTOCELULA REFLEXION ESPEJO 12M. PEPPERL+FUCHS|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2005-11-14|F|T|T||0.000|0.000
ALMERIENSE|000000,ER1830NPAS,|000000|ER1830NPAS||FOTOCELULA REFLEXION ESPEJO 5MTS.|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2004-01-21|F|T|T||0.000|0.000
ALMERIENSE|000000,S15PA5B01-PK,|000000|S15PA5B01-PK||FOTOCELULA REFLEXION ESPEJO S15 M18 PNP|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2004-01-21|F|T|T||0.000|0.000
ALMERIENSE|000000,GRL18S-K2436,|000000|GRL18S-K2436||FOTOCELULA REFLEXION ESPEJO SICK 0,06-6 MTS. M18 PNP|G|14|FOTOCELULAS/FINAL CARRERA/ETC||2009-12-29|F|T|T||0.000|0.000
